,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2023-10-17,175.861083984375,17.8799991607666,28296.967,5.33,307.653,3.9
2023-10-18,174.56060791015625,19.219999313354492,28296.967,5.33,307.653,3.9
2023-10-19,174.1833953857422,21.399999618530273,28296.967,5.33,307.653,3.9
2023-10-20,171.62213134765625,21.709999084472656,28296.967,5.33,307.653,3.9
2023-10-23,171.74127197265625,20.3700008392334,28296.967,5.33,307.653,3.9
2023-10-24,172.1780548095703,18.969999313354492,28296.967,5.33,307.653,3.9
2023-10-25,169.85508728027344,20.190000534057617,28296.967,5.33,307.653,3.9
2023-10-26,165.6757049560547,20.68000030517578,28296.967,5.33,307.653,3.9
2023-10-27,166.9960479736328,21.270000457763672,28296.967,5.33,307.653,3.9
2023-10-30,169.05096435546875,19.75,28296.967,5.33,307.653,3.9
2023-10-31,169.52748107910156,18.139999389648438,28296.967,5.33,307.653,3.9
2023-11-01,172.70419311523438,16.8700008392334,28296.967,5.33,308.087,3.7
2023-11-02,176.27801513671875,15.65999984741211,28296.967,5.33,308.087,3.7
2023-11-03,175.36468505859375,14.90999984741211,28296.967,5.33,308.087,3.7
2023-11-06,177.92593383789062,14.890000343322754,28296.967,5.33,308.087,3.7
2023-11-07,180.49708557128906,14.8100004196167,28296.967,5.33,308.087,3.7
2023-11-08,181.5592803955078,14.449999809265137,28296.967,5.33,308.087,3.7
2023-11-09,181.0828094482422,15.289999961853027,28296.967,5.33,308.087,3.7
2023-11-10,185.2875518798828,14.170000076293945,28296.967,5.33,308.087,3.7
2023-11-13,183.6970977783203,14.760000228881836,28296.967,5.33,308.087,3.7
2023-11-14,186.32135009765625,14.15999984741211,28296.967,5.33,308.087,3.7
2023-11-15,186.88792419433594,14.180000305175781,28296.967,5.33,308.087,3.7
2023-11-16,188.57781982421875,14.319999694824219,28296.967,5.33,308.087,3.7
2023-11-17,188.55792236328125,13.800000190734863,28296.967,5.33,308.087,3.7
2023-11-20,190.3074188232422,13.40999984741211,28296.967,5.33,308.087,3.7
2023-11-21,189.50225830078125,13.350000381469727,28296.967,5.33,308.087,3.7
2023-11-22,190.16824340820312,12.850000381469727,28296.967,5.33,308.087,3.7
2023-11-24,188.83624267578125,12.460000038146973,28296.967,5.33,308.087,3.7
2023-11-27,188.65731811523438,12.6899995803833,28296.967,5.33,308.087,3.7
2023-11-28,189.263671875,12.6899995803833,28296.967,5.33,308.087,3.7
2023-11-29,188.2398223876953,12.979999542236328,28296.967,5.33,308.087,3.7
2023-11-30,188.8163604736328,12.920000076293945,28296.967,5.33,308.087,3.7
2023-12-01,190.09869384765625,12.630000114440918,28296.967,5.33,308.735,3.8
2023-12-04,188.29946899414062,13.079999923706055,28296.967,5.33,308.735,3.8
2023-12-05,192.26565551757812,12.850000381469727,28296.967,5.33,308.735,3.8
2023-12-06,191.17222595214844,12.970000267028809,28296.967,5.33,308.735,3.8
2023-12-07,193.110595703125,13.0600004196167,28296.967,5.33,308.735,3.8
2023-12-08,194.5419921875,12.350000381469727,28296.967,5.33,308.735,3.8
2023-12-11,192.02708435058594,12.630000114440918,28296.967,5.33,308.735,3.8
2023-12-12,193.5479736328125,12.069999694824219,28296.967,5.33,308.735,3.8
2023-12-13,196.77854919433594,12.1899995803833,28296.967,5.33,308.735,3.8
2023-12-14,196.9276885986328,12.479999542236328,28296.967,5.33,308.735,3.8
2023-12-15,196.39088439941406,12.279999732971191,28296.967,5.33,308.735,3.8
2023-12-18,194.7209014892578,12.5600004196167,28296.967,5.33,308.735,3.8
2023-12-19,195.76466369628906,12.529999732971191,28296.967,5.33,308.735,3.8
2023-12-20,193.66725158691406,13.670000076293945,28296.967,5.33,308.735,3.8
2023-12-21,193.5181121826172,13.649999618530273,28296.967,5.33,308.735,3.8
2023-12-22,192.44459533691406,13.029999732971191,28296.967,5.33,308.735,3.8
2023-12-26,191.8978729248047,12.989999771118164,28296.967,5.33,308.735,3.8
2023-12-27,191.9972686767578,12.430000305175781,28296.967,5.33,308.735,3.8
2023-12-28,192.42469787597656,12.470000267028809,28296.967,5.33,308.735,3.8
2023-12-29,191.38095092773438,12.449999809265137,28296.967,5.33,308.735,3.8
2024-01-01,191.38095092773438,12.449999809265137,28624.069,5.33,309.794,3.7
2024-01-02,184.53208923339844,13.199999809265137,28624.069,5.33,309.794,3.7
2024-01-03,183.15040588378906,14.039999961853027,28624.069,5.33,309.794,3.7
2024-01-04,180.82435607910156,14.130000114440918,28624.069,5.33,309.794,3.7
2024-01-05,180.09869384765625,13.350000381469727,28624.069,5.33,309.794,3.7
2024-01-08,184.4525604248047,13.079999923706055,28624.069,5.33,309.794,3.7
2024-01-09,184.0350799560547,12.760000228881836,28624.069,5.33,309.794,3.7
2024-01-10,185.0787811279297,12.6899995803833,28624.069,5.33,309.794,3.7
2024-01-11,184.48239135742188,12.4399995803833,28624.069,5.33,309.794,3.7
2024-01-12,184.81040954589844,12.699999809265137,28624.069,5.33,309.794,3.7
2024-01-16,182.53407287597656,13.84000015258789,28624.069,5.33,309.794,3.7
2024-01-17,181.5897674560547,14.789999961853027,28624.069,5.33,309.794,3.7
2024-01-18,187.50424194335938,14.130000114440918,28624.069,5.33,309.794,3.7
2024-01-19,190.41676330566406,13.300000190734863,28624.069,5.33,309.794,3.7
2024-01-22,192.73284912109375,13.1899995803833,28624.069,5.33,309.794,3.7
2024-01-23,194.01515197753906,12.550000190734863,28624.069,5.33,309.794,3.7
2024-01-24,193.33920288085938,13.140000343322754,28624.069,5.33,309.794,3.7
2024-01-25,193.01116943359375,13.449999809265137,28624.069,5.33,309.794,3.7
2024-01-26,191.27162170410156,13.260000228881836,28624.069,5.33,309.794,3.7
2024-01-29,190.58575439453125,13.600000381469727,28624.069,5.33,309.794,3.7
2024-01-30,186.9177703857422,13.3100004196167,28624.069,5.33,309.794,3.7
2024-01-31,183.2994842529297,14.350000381469727,28624.069,5.33,309.794,3.7
2024-02-01,185.74481201171875,13.880000114440918,28624.069,5.33,311.022,3.9
2024-02-02,184.7408447265625,13.850000381469727,28624.069,5.33,311.022,3.9
2024-02-05,186.55990600585938,13.670000076293945,28624.069,5.33,311.022,3.9
2024-02-06,188.1702423095703,13.0600004196167,28624.069,5.33,311.022,3.9
2024-02-07,188.2795867919922,12.829999923706055,28624.069,5.33,311.022,3.9
2024-02-08,187.1961212158203,12.789999961853027,28624.069,5.33,311.022,3.9
2024-02-09,187.9624786376953,12.930000305175781,28624.069,5.33,311.022,3.9
2024-02-12,186.27044677734375,13.930000305175781,28624.069,5.33,311.022,3.9
2024-02-13,184.1703643798828,15.850000381469727,28624.069,5.33,311.022,3.9
2024-02-14,183.28456115722656,14.380000114440918,28624.069,5.33,311.022,3.9
2024-02-15,182.9959259033203,14.010000228881836,28624.069,5.33,311.022,3.9
2024-02-16,181.45318603515625,14.239999771118164,28624.069,5.33,311.022,3.9
2024-02-20,180.7067108154297,15.420000076293945,28624.069,5.33,311.022,3.9
2024-02-21,181.4631805419922,15.34000015258789,28624.069,5.33,311.022,3.9
2024-02-22,183.50352478027344,14.539999961853027,28624.069,5.33,311.022,3.9
2024-02-23,181.66221618652344,13.75,28624.069,5.33,311.022,3.9
2024-02-26,180.30860900878906,13.739999771118164,28624.069,5.33,311.022,3.9
2024-02-27,181.77169799804688,13.430000305175781,28624.069,5.33,311.022,3.9
2024-02-28,180.56739807128906,13.84000015258789,28624.069,5.33,311.022,3.9
2024-02-29,179.90054321289062,13.399999618530273,28624.069,5.33,311.022,3.9
2024-03-01,178.815673828125,13.109999656677246,28624.069,5.33,312.107,3.9
2024-03-04,174.27711486816406,13.489999771118164,28624.069,5.33,312.107,3.9
2024-03-05,169.32049560546875,14.460000038146973,28624.069,5.33,312.107,3.9
2024-03-06,168.32518005371094,14.5,28624.069,5.33,312.107,3.9
